session_id,timestamp,item_name,puzzle_stage,zone,dimension
20260412_181610_a7bb,2026-04-12 18:16:15,dialogue,puzzle_1_tuner,Zone 2,present
20260412_181610_a7bb,2026-04-12 18:16:16,dialogue,puzzle_1_tuner,Zone 2,present
20260412_181610_a7bb,2026-04-12 18:16:21,dialogue,puzzle_1_tuner,Zone 2,present
20260412_181610_a7bb,2026-04-12 18:16:23,dialogue,puzzle_1_tuner,Zone 2,present
20260412_181610_a7bb,2026-04-12 18:16:25,dialogue,puzzle_1_tuner,Zone 2,present
20260412_181610_a7bb,2026-04-12 18:16:28,fiber_wire_zone2,puzzle_1_tuner,Zone 2,present
20260412_181610_a7bb,2026-04-12 18:16:33,dialogue,puzzle_1_tuner,Zone 2,present
20260412_181610_a7bb,2026-04-12 18:16:36,dialogue,puzzle_1_tuner,Zone 2,present
20260412_181610_a7bb,2026-04-12 18:16:40,left_door_zone2,puzzle_1_tuner,Zone 2,present
20260412_181610_a7bb,2026-04-12 18:16:45,dialogue,puzzle_1_tuner,Zone 1,present
20260412_181610_a7bb,2026-04-12 18:16:47,Time_Tuner,puzzle_1_tuner,Zone 1,present
20260412_181610_a7bb,2026-04-12 18:16:51,dialogue,puzzle_2_seed,Zone 1,present
20260412_181610_a7bb,2026-04-12 18:16:57,dialogue,puzzle_2_seed,Zone 1,present
20260412_181610_a7bb,2026-04-12 18:17:02,dialogue,puzzle_2_seed,Zone 1,present
20260412_181610_a7bb,2026-04-12 18:17:04,dialogue,puzzle_2_seed,Zone 1,present
20260412_181610_a7bb,2026-04-12 18:17:06,inventory,puzzle_2_seed,Zone 1,present
20260412_181610_a7bb,2026-04-12 18:17:10,time_slider,puzzle_2_seed,Zone 1,past
20260412_181610_a7bb,2026-04-12 18:17:11,time_slider,puzzle_2_seed,Zone 1,present
20260412_181610_a7bb,2026-04-12 18:17:12,time_slider,puzzle_2_seed,Zone 1,present
20260412_181610_a7bb,2026-04-12 18:17:13,time_slider,puzzle_2_seed,Zone 1,past
20260412_181610_a7bb,2026-04-12 18:17:14,time_slider,puzzle_2_seed,Zone 1,future
20260412_181610_a7bb,2026-04-12 18:17:15,time_slider,puzzle_2_seed,Zone 1,present
20260412_181610_a7bb,2026-04-12 18:17:16,time_slider,puzzle_2_seed,Zone 1,past
20260412_181610_a7bb,2026-04-12 18:17:20,time_slider,puzzle_2_seed,Zone 1,present
20260412_181610_a7bb,2026-04-12 18:17:22,magnet_zone1,puzzle_2_seed,Zone 1,present
20260412_181610_a7bb,2026-04-12 18:17:29,main_com_zone1,puzzle_2_seed,Zone 1,present
20260412_181610_a7bb,2026-04-12 18:17:39,dialogue,puzzle_2_seed,Zone 1,present
20260412_181610_a7bb,2026-04-12 18:17:47,dialogue,puzzle_2_seed,Zone 1,present
20260412_181610_a7bb,2026-04-12 18:17:50,dialogue,puzzle_2_seed,Zone 1,present
